Rank,Metro ,States,Population 2019,Population 2010,Growth ,,,,
211,Yuma,AZ MSA,213787,195751,9.21%,,"213,787","195,751","Yuma, AZ MSA"
212,Athens-Clarke County,GA MSA,213750,192541,11.02%,,"213,750","192,541","Athens-Clarke County, GA MSA"
213,Barnstable Town,MA MSA,212990,215888,−1.34%,,"212,990","215,888","Barnstable Town, MA MSA"
214,Lake Havasu City-Kingman,AZ MSA,212181,200186,5.99%,,"212,181","200,186","Lake Havasu City-Kingman, AZ MSA"
215,Lake Charles,LA MSA,210409,199607,5.41%,,"210,409","199,607","Lake Charles, LA MSA"
216,Columbia,MO MSA,208173,190387,9.34%,,"208,173","190,387","Columbia, MO MSA"
217,Houma-Thibodaux,LA MSA,208075,208178,−0.05%,,"208,075","208,178","Houma-Thibodaux, LA MSA"
218,Springfield,IL MSA,206868,210170,−1.57%,,"206,868","210,170","Springfield, IL MSA"
219,Elkhart-Goshen,IN MSA,206341,197559,4.45%,,"206,341","197,559","Elkhart-Goshen, IN MSA"
220,Florence,SC MSA,204911,205566,−0.32%,,"204,911","205,566","Florence, SC MSA"
221,Gainesville,GA MSA,204441,179684,13.78%,,"204,441","179,684","Gainesville, GA MSA"
222,Johnson City,TN MSA,203649,198716,2.48%,,"203,649","198,716","Johnson City, TN MSA"
223,St. Cloud,MN MSA,201964,189093,6.81%,,"201,964","189,093","St. Cloud, MN MSA"
224,Monroe,LA MSA,200261,204420,−2.03%,,"200,261","204,420","Monroe, LA MSA"
225,Jacksonville,NC MSA,197938,177772,11.34%,,"197,938","177,772","Jacksonville, NC MSA"
226,Bend,OR MSA,197692,157733,25.33%,,"197,692","157,733","Bend, OR MSA"
227,Racine,WI MSA,196311,195408,0.46%,,"196,311","195,408","Racine, WI MSA"
228,Saginaw,MI MSA,190539,200169,−4.81%,,"190,539","200,169","Saginaw, MI MSA"
229,Punta Gorda,FL MSA,188910,159978,18.08%,,"188,910","159,978","Punta Gorda, FL MSA"
230,Terre Haute,IN MSA,186367,189764,−1.79%,,"186,367","189,764","Terre Haute, IN MSA"
231,Warner Robins,GA MSA,185409,167595,10.63%,,"185,409","167,595","Warner Robins, GA MSA"
232,Midland,TX MSA,182603,141671,28.89%,,"182,603","141,671","Midland, TX MSA"
233,Billings,MT MSA,181667,167167,8.67%,,"181,667","167,167","Billings, MT MSA"
234,El Centro,CA MSA,181215,174528,3.83%,,"181,215","174,528","El Centro, CA MSA"
235,Dover,DE MSA,180786,162310,11.38%,,"180,786","162,310","Dover, DE MSA"
236,Greenville,NC MSA,180742,168148,7.49%,,"180,742","168,148","Greenville, NC MSA"
